datetime;Temperature
2020-03-01 15:44:06;92.2562
2020-03-01 15:44:07;92.0144
2020-03-01 15:44:08;92.2413
2020-03-01 15:44:09;92.2438
2020-03-01 15:44:10;92.3611
2020-03-01 15:44:11;92.2081
2020-03-01 15:44:12;92.2305
2020-03-01 15:44:13;92.3508
2020-03-01 15:44:14;92.2582
2020-03-01 15:44:15;92.2867
2020-03-01 15:44:16;92.3134
2020-03-01 15:44:18;92.3117
2020-03-01 15:44:19;92.2276
2020-03-01 15:44:20;92.3195
2020-03-01 15:44:21;92.3987
2020-03-01 15:44:22;92.3622
2020-03-01 15:44:23;92.2179
2020-03-01 15:44:24;92.3079
2020-03-01 15:44:25;92.4039
2020-03-01 15:44:26;92.543
2020-03-01 15:44:27;92.5555
2020-03-01 15:44:28;92.4826
2020-03-01 15:44:29;92.3801
2020-03-01 15:44:30;92.8084
2020-03-01 15:44:31;92.6807
2020-03-01 15:44:32;92.4346
2020-03-01 15:44:33;92.8106
2020-03-01 15:44:34;92.376
2020-03-01 15:44:35;92.4763
2020-03-01 15:44:36;92.7979
2020-03-01 15:44:37;92.8387
2020-03-01 15:44:39;92.6194
2020-03-01 15:44:40;92.5159
2020-03-01 15:44:41;92.7781
2020-03-01 15:44:42;92.813
2020-03-01 15:44:43;92.8926
2020-03-01 15:44:44;92.7195
2020-03-01 15:44:45;92.8218
2020-03-01 15:44:46;92.8947
2020-03-01 15:44:47;92.9503
2020-03-01 15:44:48;92.9526
2020-03-01 15:44:49;93.0101
2020-03-01 15:44:50;93.0507
2020-03-01 15:44:51;93.1136
2020-03-01 15:44:52;93.0074
2020-03-01 15:44:53;93.1111
2020-03-01 15:44:54;93.1018
2020-03-01 15:44:55;93.0392
2020-03-01 15:44:56;93.0087
2020-03-01 15:44:57;93.2043
2020-03-01 15:44:59;93.2234
2020-03-01 15:45:00;93.1864
2020-03-01 15:45:01;92.9962
2020-03-01 15:45:02;93.0956
2020-03-01 15:45:03;93.0271
2020-03-01 15:45:04;93.2439
2020-03-01 15:45:05;93.2681
2020-03-01 15:45:06;93.2243
2020-03-01 15:45:07;93.2593
2020-03-01 15:45:08;93.1152
2020-03-01 15:45:09;93.1575
2020-03-01 15:45:10;93.3483
2020-03-01 15:45:11;93.1606
2020-03-01 15:45:12;93.3483
2020-03-01 15:45:13;93.2821
2020-03-01 15:45:14;93.2922
2020-03-01 15:45:15;93.2888
2020-03-01 15:45:16;93.3408
2020-03-01 15:45:17;93.2742
2020-03-01 15:45:18;93.3617
2020-03-01 15:45:20;93.4032
2020-03-01 15:45:21;93.3463
2020-03-01 15:45:22;93.3485
2020-03-01 15:45:23;93.4639
2020-03-01 15:45:24;93.4182
2020-03-01 15:45:25;93.3036
2020-03-01 15:45:26;93.3788
2020-03-01 15:45:27;93.4824
2020-03-01 15:45:28;93.5361
2020-03-01 15:45:29;93.5001
